PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
3.0,2.0,21.0,3668.0,0.8506,0.0534,0.0409,0.0144,0.0008,0.0016,0.0161,15323.0,9179.0,0.1051,0.2897,0.013,0.8619447779,19500.0,87745.0,46461.0,51300.0,52514.0
3.0,2.0,32.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6333,8020.0,428.0,0.7049445546127735,0.5055975438602923,0.069,0.3805668016,11547.60787890881,9948.0,16553.0,23542.0,21390.997070396526
2.0,1.0,13.0,3257.0,0.5063,0.4001,0.0439,0.0068,0.0018,0.0012,0.4722,5653.0,6887.0,0.3365,0.0,0.0,0.5236955481,11576.327950357183,15976.5,28902.0,31176.0,15065.0
2.0,1.0,32.0,1494.0,0.6821,0.0696,0.1968,0.0067,0.004,0.0,0.3447,3073.0,7766.0,0.3808,0.139,0.0,0.4673748103,9000.0,23735.0,29671.0,31284.0,12800.0
3.0,1.0,12.0,8171.0,0.6036,0.2224,0.0466,0.0405,0.0071,0.0011,0.1376,10863.0,7772.0,0.3853,0.5065,0.048,0.665742025,24929.0,36199.0,38334.0,43010.0,22667.0
3.0,2.0,12.0,932.0,0.6062,0.1309,0.0944,0.015,0.0086,0.0011,0.0343,8453.0,6821.0,0.3531,0.5654,0.055,0.7483660131,27000.0,61189.0,43120.0,44386.0,35488.0
3.0,2.0,13.0,727.0,0.0275,0.9519,0.0069,0.0028,0.0028,0.0,0.1733,4757.0,5140.0,0.6989,0.6776,0.149,0.5894941634,29067.0,19890.0,28512.0,32234.0,25678.0
3.0,2.0,32.0,832.0,0.0144,0.8389,0.0481,0.0,0.0048,0.0024,0.0565,2381.0,6413.0,0.7033,0.6935,0.212,0.6019417476,28500.0,18810.0,24006.0,26205.0,22267.0
2.0,1.0,12.0,1599.0,0.1814,0.7273,0.0419,0.0094,0.0031,0.0013,0.4941,5747.0,7007.0,0.5832,0.0,0.0,0.5695600476,10606.438551558018,15992.0,24547.0,27193.0,12688.0
3.0,1.0,33.0,10316.0,0.5303,0.3226,0.0457,0.0062,0.0026,0.0013,0.3148,7548.0,7183.0,0.4229,0.6585,0.093,0.6101542878,25000.0,29641.0,36498.0,36985.0,22005.0
3.0,2.0,32.0,2100.0,0.0062,0.909,0.0186,0.0033,0.0033,0.02,0.0543,18434.0,7526.0,0.5723,0.6232,0.091,0.7693561532,27000.0,35336.0,38791.0,42051.0,41924.0
3.0,2.0,13.0,94.0,0.383,0.2447,0.1383,0.0,0.0106,0.0,0.7553,9921.0,7124.0,0.5429,0.2286,0.038,0.5982878536072226,16699.87201221641,29000.0,42514.0,48476.0,31285.49482501491
1.0,1.0,32.0,2205.0,0.7433,0.1741,0.0313,0.005,0.0032,0.0,0.527,6591.0,7471.0,0.3385,0.0,0.0,0.4691916337,11289.704610843,16911.0,28602.0,30432.0,15002.0
3.0,1.0,11.0,6778.0,0.4923,0.036,0.1146,0.0937,0.051,0.0274,0.4776,14817.0,9517.0,0.193,0.1583,0.082,0.6108061254,20210.0,33525.0,39588.0,44970.0,23461.0
3.0,2.0,32.0,31.0,0.9032,0.0323,0.0,0.0,0.0,0.0,0.3226,6856.0,6926.20259296209,0.5227,0.0682,0.0,0.6621749789206657,15536.98744668338,42490.0,36450.863795884965,39142.29938134035,19679.0
3.0,1.0,23.0,4010.0,0.5332,0.0334,0.096,0.0224,0.1302,0.009,0.4419,19579.0,9649.0,0.2156,0.1828,0.089,0.6011673152,20291.0,35967.0,38536.0,42530.0,19814.0
1.0,1.0,33.0,964.0,0.5498,0.0073,0.0882,0.0602,0.0954,0.0176,0.5311,17709.0,8313.0,0.1571,0.1434,0.093,0.6048565121,19111.0,34718.0,36575.0,42542.0,17471.0
3.0,2.0,11.0,457.0,0.3282,0.0481,0.0153,0.0656,0.2757,0.0175,0.1751,13750.0,6837.0,0.3787,0.5177,0.047,0.6642305366054027,23500.0,38810.0,39274.0,44786.0,36422.0
1.0,1.0,43.0,202.0,0.3515,0.0099,0.0297,0.0149,0.4257,0.005,0.3416,28076.0,8343.616196396451,0.0471,0.0088,0.085,0.5586206897,11755.803011231892,22043.0,42609.0,47409.0,23745.0
1.0,3.0,12.0,2117.0,0.4171,0.0822,0.1866,0.0321,0.1205,0.0298,0.0,2348.0,5117.0,0.4971,0.6181,0.108,0.4459598559,14176.0,18566.0,31938.0,31046.0,30947.0
1.0,3.0,11.0,268.0,0.3022,0.1045,0.0821,0.1418,0.2388,0.0224,0.0,3712.0,5200.0,0.6287,0.5992,0.135,0.5232273839,7377.0,23113.5,30686.0,30573.0,22844.0
1.0,3.0,11.0,184.0,0.2337,0.0761,0.5272,0.0109,0.0326,0.0,0.3261,7207.0,5086.751203472724,0.5489,0.5404,0.1,0.4301282051,13000.0,14099.0,21310.0,22612.0,20641.0
1.0,3.0,11.0,1047.0,0.1738,0.0888,0.5654,0.0277,0.0372,0.0019,0.0,5319.0,5700.0,0.5352,0.5559,0.154,0.4451649281,9500.0,16832.5,32391.0,32836.0,30659.0
1.0,3.0,11.0,532.0,0.2425,0.0677,0.4586,0.0301,0.0771,0.0038,0.0,8426.0,6627.0,0.4748,0.6316,0.154,0.4451649281,9500.0,16832.5,32391.0,32836.0,44993.0
1.0,3.0,11.0,446.0,0.1749,0.0762,0.6188,0.0247,0.0314,0.0045,0.0,5292.0,6104.0,0.5467,0.5954,0.154,0.4451649281,9500.0,16832.5,32391.0,32836.0,31794.0
1.0,3.0,11.0,34.0,0.2353,0.2059,0.5,0.0294,0.0,0.0,0.0,1732.0,4194.077215291014,0.6111,0.5417,0.122,0.4946236559,5250.0,12607.5,20520.0,17214.0,20321.0
1.0,3.0,21.0,411.0,0.2384,0.0973,0.4623,0.0049,0.1071,0.0097,0.0,4020.0,4798.0,0.7083,0.6633,0.117,0.4137681159,15917.0,16310.0,25392.0,27661.0,27409.0
3.0,3.0,11.0,841.0,0.2545,0.126,0.3246,0.0321,0.0702,0.0059,0.0,5610.0,6818.0,0.4678,0.6398,0.13,0.4409672831,9500.0,15003.5,27444.0,25946.0,39030.0
3.0,1.0,12.0,64778.0,0.4517,0.0429,0.2596,0.0877,0.0112,0.0021,0.0774,12980.0,11931.0,0.3124,0.2831,0.071,0.6186820795,19500.0,35851.5,49895.0,54245.0,26937.0
2.0,1.0,13.0,7595.0,0.1065,0.0124,0.6421,0.0071,0.0083,0.0012,0.7435,6329.0,7575.0,0.3748,0.0031,0.177,0.3892353134,4826.0,21462.5,30069.0,32032.0,15695.0
3.0,1.0,11.0,37979.0,0.4936,0.0414,0.2791,0.0526,0.013,0.0021,0.2065,13072.0,11438.0,0.2781,0.2757,0.054,0.6859270431,19620.0,43043.0,47045.0,52179.0,27682.0
1.0,1.0,41.0,4402.0,0.3721,0.0684,0.4262,0.0216,0.0293,0.0052,0.7574,5932.0,6860.0,0.2388,0.0285,0.161,0.501807955,10010.0,23659.5,33053.0,35768.0,11627.0
